backend,world_size,size_bytes,rank_times,mean_ms,max_ms
gloo,2,1048576,"[0.0007005415005551186, 0.0006944333988940343]",0.6974874497245764,0.7005415005551185
gloo,2,10485760,"[0.0023182332995929757, 0.00231722919997992]",2.3177312497864477,2.3182332995929755
gloo,2,104857600,"[0.0275780541007407, 0.02757916229966213]",27.578608200201415,27.57916229966213
gloo,2,1048576000,"[0.2772782375992392, 0.2772829582994746]",277.2805979493569,277.28295829947456
gloo,4,1048576,"[0.002126216700708028, 0.0021418999014713334, 0.002117354501388036, 0.0021053334014141]",2.122701126245374,2.1418999014713336
gloo,4,10485760,"[0.007013900001038564, 0.007021750100830104, 0.007032741799048381, 0.007043983100447804]",7.028093750341212,7.043983100447804
gloo,4,104857600,"[0.06501351689876174, 0.06501089990051696, 0.06501820820194552, 0.06499491240028873]",65.00938435037823,65.01820820194553
gloo,4,1048576000,"[0.6834002709998458, 0.6833981998999661, 0.6833979373986949, 0.683407725100551]",683.4010333497645,683.407725100551
gloo,6,1048576,"[0.003160408498661127, 0.003143541602184996, 0.003141395600687247, 0.0031542625001748092, 0.0031615582010999788, 0.0031680915992183143]",3.1548763336710786,3.1680915992183145
gloo,6,10485760,"[0.012451995901210466, 0.012422078998497454, 0.012419416599732358, 0.012398912599746837, 0.012400791701657, 0.01240731660000165]",12.416752066807627,12.451995901210466
gloo,6,104857600,"[0.11679850819928106, 0.11681557080009952, 0.11681874159912695, 0.11681199170125182, 0.1168211042015173, 0.11682480840099743]",116.81512081704568,116.82480840099743
gloo,6,1048576000,"[1.1487505249991954, 1.148729812597594, 1.14871751249957, 1.148710637399199, 1.1487220333016013, 1.148718441699748]",1148.724827082818,1148.7505249991955
